Date;City;Mean Temperature Actual;Low Temperature Actual;High Temperature Actual;Precipitation Actual;Wind Speed Actual;Relative Humidity Actual
19/10/2018;Chicago;9,46;7,2;11,72;0,15;20,0;70,39
18/10/2018;Chicago;7,75;1,1;14,39;0,0;11,72;48,29
17/10/2018;Chicago;7,5;3,9;11,1;0,0;17,5;51,72
16/10/2018;Chicago;7,75;1,11;14,39;0,0;20,67;56,94
15/10/2018;Chicago;5,85;2,8;8,89;0,2;19,59;68,43
14/10/2018;Chicago;9,4;4,39;14,4;0,23;9,5;71,99
13/10/2018;Chicago;6,4;1,11;11,7;0,0;12,78;73,55
12/10/2018;Chicago;3,92;2,22;5,61;0,0;12,54;73,55
11/10/2018;Chicago;7,76;4,4;11,11;0,0;25,3;59,96
10/10/2018;Chicago;17,5;11,1;23,89;2,82;22,13;79,93
09/10/2018;Chicago;25,86;21,72;30,0;0,23;16,31;66,78
08/10/2018;Chicago;23,85;18,3;29,39;0,3;15,17;75,88
07/10/2018;Chicago;16,1;13,89;18,3;2,18;13,19;88,71
06/10/2018;Chicago;18,59;14,39;22,8;0,46;13,48;85,22
05/10/2018;Chicago;15,55;12,2;18,89;3,2;13,52;86,31
04/10/2018;Chicago;19,22;11,72;26,72;0,15;24,78;67,74
03/10/2018;Chicago;23,36;15,61;31,11;0,0;25,13;66,13
02/10/2018;Chicago;17,5;15,0;20,0;0,46;10,89;84,52
29/10/2018;London;8,0;2,0;9,0;;14,81;62,0
28/10/2018;London;6,5;3,0;10,0;;20,06;75,82
27/10/2018;London;4,5;2,0;7,0;;17,54;78,33
26/10/2018;London;7,5;4,0;11,0;;16,43;75,67
25/10/2018;London;8,5;3,0;14,0;;9,41;82,79
24/10/2018;London;14,5;11,9;17,11;0,0;13,57;82,9
23/10/2018;London;9,7;4,3;15,11;0,0;13,44;76,33
22/10/2018;London;9,1;5,2;13,0;0,0;13,61;71,08
21/10/2018;London;12,25;5,5;19,0;0,0;6,83;85,63
20/10/2018;London;10,9;3,6;18,22;0,0;4,87;82,87
19/10/2018;London;9,5;2,89;16,0;0,0;4,78;83,42
18/10/2018;London;11,0;6,0;16,0;0,18;12,48;82,65
17/10/2018;London;13,5;11,0;16,0;0,0;5,19;90,47
16/10/2018;London;16,5;13,0;20,0;0,03;11,11;86,26
15/10/2018;London;12,0;9,8;14,0;3,63;12,11;96,59
14/10/2018;London;14,4;9,78;19,0;0,3;15,37;90,93
13/10/2018;London;21,36;18,6;24,11;0,03;23,15;68,95
12/10/2018;London;17,39;13,5;21,39;0,3;27,57;71,09
11/10/2018;London;16,89;13,5;20,28;0,0;18,15;80,62
10/10/2018;London;17,25;9,5;25,0;0,0;10,94;80,38
09/10/2018;London;15,0;9,0;21,1;0,0;10,39;75,47
08/10/2018;London;10,55;3,8;17,3;0,0;9,65;78,69
07/10/2018;London;9,8;5,0;14,6;1,04;10,46;73,34
06/10/2018;London;10,3;8,0;12,6;0,0;16,74;92,02
05/10/2018;London;16,8;12,6;21,0;0,0;5,3;83,03
04/10/2018;London;13,95;9,6;18,28;0,0;10,52;88,07
03/10/2018;London;14,0;9,6;18,39;0,0;9,85;77,65
02/10/2018;London;14,7;10,0;19,39;0,0;19,83;72,81
28/10/2018;New York;6,21;8,28;4,13;;9,33;89,14
27/10/2018;New York;5,16;6,99;3,32;;18,85;88,44
26/10/2018;New York;3,73;7,39;0,07;;7,44;69,3
25/10/2018;New York;4,04;6,32;1,77;0,08;14,28;75,16
24/10/2018;New York;5,86;8,83;2,89;0,31;16,3;75,67
23/10/2018;New York;7,83;13,03;2,63;0,17;11,22;78,44
22/10/2018;New York;4,98;8,62;1,33;0,01;9,83;70,26
21/10/2018;New York;4,76;8,08;1,44;0,15;20,09;63,73
20/10/2018;New York;10,16;14,87;5,44;0,29;17,31;72,4
19/10/2018;New York;8,28;15,33;1,25;0,0;15,93;62,02
18/10/2018;New York;4,22;7,96;0,48;0,05;17,96;58,23
17/10/2018;New York;7,76;12,28;3,23;0,1;19,43;68,33
16/10/2018;New York;8,36;12,98;3,74;0,07;17,78;62,26
15/10/2018;New York;10,99;16,98;4,99;0,21;15,04;87,84
14/10/2018;New York;8,86;14,33;3,39;0,02;7,57;73,98
13/10/2018;New York;8,02;11,33;4,71;0,29;10,81;77,88
12/10/2018;New York;11,72;16,04;7,39;0,69;18,59;71,07
11/10/2018;New York;19,21;23,27;15,14;1,44;13,57;90,07
10/10/2018;New York;22,33;26,88;17,77;0,03;11,56;82,2
09/10/2018;New York;21,63;26,52;16,73;0,01;12,04;83,53
08/10/2018;New York;16,77;21,18;12,36;0,03;9,56;90,56
07/10/2018;New York;17,35;21,42;13,29;0,28;9,81;92,22
06/10/2018;New York;15,41;20,54;10,28;0,4;9,44;85,55
05/10/2018;New York;12,36;17,41;7,3;0,11;10,31;74,43
04/10/2018;New York;16,77;22,39;11,14;0,31;12,56;87,27
03/10/2018;New York;15,48;18,84;12,11;0,51;8,5;88,97
02/10/2018;New York;15,94;19,6;12,27;1,75;9,91;94,16
29/10/2018;San Francisco;16,11;11,11;16,11;;9,26;65,0
28/10/2018;San Francisco;17,25;12,78;21,72;;18,37;83,66
27/10/2018;San Francisco;16,67;12,22;21,11;;17,83;83,5
26/10/2018;San Francisco;17,5;12,78;22,22;;16,15;78,64
25/10/2018;San Francisco;16,42;11,72;21,11;0,0;11,17;93,13
24/10/2018;San Francisco;15,85;10,0;21,7;0,0;16,0;80,27
23/10/2018;San Francisco;13,83;9,39;18,28;0,0;13,39;74,67
22/10/2018;San Francisco;14,45;11,11;17,8;0,0;16,57;75,05
21/10/2018;San Francisco;14,7;9,4;20,0;0,0;18,09;80,55
20/10/2018;San Francisco;14,7;10,0;19,4;0,0;18,41;82,77
19/10/2018;San Francisco;16,35;9,4;23,3;0,0;14,83;80,9
18/10/2018;San Francisco;15,0;9,4;20,6;0,0;14,93;81,11
17/10/2018;San Francisco;15,0;9,4;20,6;0,0;16,5;80,07
16/10/2018;San Francisco;16,69;10,61;22,78;0,0;13,98;58,83
15/10/2018;San Francisco;20,0;12,8;27,2;0,0;15,7;28,58
14/10/2018;San Francisco;16,65;11,1;22,2;0,0;12,8;73,94
13/10/2018;San Francisco;18,65;11,7;25,6;0,0;16,76;70,43
12/10/2018;San Francisco;18,6;11,11;26,1;0,0;10,78;56,39
11/10/2018;San Francisco;16,65;12,2;21,1;0,0;14,37;70,31
10/10/2018;San Francisco;15,55;11,11;20,0;0,0;12,07;71,02
09/10/2018;San Francisco;18,6;12,78;24,4;0,0;11,09;76,64
08/10/2018;San Francisco;20,25;14,39;26,11;0,0;15,72;55,36
07/10/2018;San Francisco;20,0;14,4;25,6;0,0;23,3;44,18
06/10/2018;San Francisco;18,3;14,39;22,2;0,0;25,33;78,04
05/10/2018;San Francisco;17,25;12,78;21,7;0,0;17,96;72,83
04/10/2018;San Francisco;18,04;14,39;21,7;0,0;16,63;72,95
03/10/2018;San Francisco;19,7;16,1;23,3;0,0;13,56;76,25
02/10/2018;San Francisco;18,05;12,8;23,28;0,41;11,48;73,49
28/10/2018;Tokyo;20,13;17,68;22,58;;13,59;68,79
27/10/2018;Tokyo;21,86;18,82;24,89;;16,0;82,9
26/10/2018;Tokyo;20,39;18,15;22,64;;13,65;68,2
25/10/2018;Tokyo;20,77;18,39;23,14;;14,26;63,92
24/10/2018;Tokyo;20,17;17,33;23,02;0,01;11,76;76,78
23/10/2018;Tokyo;18,37;16,72;20,03;0,03;14,7;80,87
22/10/2018;Tokyo;18,93;15,39;22,48;0,0;13,02;59,57
21/10/2018;Tokyo;18,9;15,43;22,36;0,36;17,56;58,1
20/10/2018;Tokyo;19,46;16,16;22,78;0,8;17,76;70,99
19/10/2018;Tokyo;19,16;17,04;21,26;2,01;14,85;79,74
18/10/2018;Tokyo;19,81;17,17;22,48;0,35;16,65;77,48
17/10/2018;Tokyo;20,27;17,31;23,22;0,07;12,72;76,2
16/10/2018;Tokyo;20,01;17,57;22,42;0,18;10,78;80,08
15/10/2018;Tokyo;19,74;17,58;21,9;0,64;9,41;82,47
14/10/2018;Tokyo;19,34;16,64;22,05;1,39;12,63;80,76
13/10/2018;Tokyo;18,92;17,16;20,68;1,58;18,22;78,78
12/10/2018;Tokyo;21,19;18,47;23,91;0,16;13,41;77,09
11/10/2018;Tokyo;23,09;20,92;25,26;0,16;9,76;89,6
10/10/2018;Tokyo;23,82;20,87;26,76;0,03;10,44;80,79
09/10/2018;Tokyo;23,36;20,37;26,36;0,01;11,93;78,33
08/10/2018;Tokyo;23,19;21,0;25,4;0,06;12,7;78,45
07/10/2018;Tokyo;26,56;22,85;30,26;0,03;15,96;73,7
06/10/2018;Tokyo;25,38;21,35;29,38;0,14;16,5;85,69
05/10/2018;Tokyo;22,2;20,57;23,84;0,65;14,2;91,35
04/10/2018;Tokyo;21,93;20,38;23,48;0,14;16,56;81,69
03/10/2018;Tokyo;21,83;19,37;24,29;0,09;10,46;79,98
02/10/2018;Tokyo;23,02;19,38;26,67;0,0;11,91;64,41
28/10/2018;Zurich;0,61;-0,47;1,68;;10,3;96,17
27/10/2018;Zurich;4,44;1,68;7,2;;10,17;94,27
26/10/2018;Zurich;9,58;6,12;13,04;;10,52;84,03
25/10/2018;Zurich;11,25;6,67;15,85;;6,94;81,35
24/10/2018;Zurich;11,04;8,54;13,55;0,0;9,3;66,13
23/10/2018;Zurich;7,98;3,35;12,63;0,0;7,17;72,18
22/10/2018;Zurich;6,83;2,59;11,09;0,0;5,8;80,23
21/10/2018;Zurich;8,81;4,57;13,06;0,01;6,26;86,2
20/10/2018;Zurich;11,43;7,92;14,92;0,01;4,74;86,94
19/10/2018;Zurich;11,01;7,67;14,28;0,0;4,54;88,09
18/10/2018;Zurich;12,6;8,19;17,05;0,0;6,09;76,99
17/10/2018;Zurich;13,55;8,53;18,55;0,0;3,72;70,58
16/10/2018;Zurich;14,73;9,74;19,71;0,0;3,17;61,09
15/10/2018;Zurich;15,66;10,1;21,2;0,0;5,11;54,04
14/10/2018;Zurich;15,95;10,45;21,46;0,0;4,81;60,78
13/10/2018;Zurich;15,48;11,08;19,87;0,0;2,65;79,48
12/10/2018;Zurich;15,83;10,47;21,21;0,0;3,41;74,05
11/10/2018;Zurich;13,79;10,27;17,33;0,0;5,19;76,1
10/10/2018;Zurich;15,54;11,01;20,09;0,01;6,35;73,5
09/10/2018;Zurich;14,06;11,08;17,07;0,0;4,26;86,77
08/10/2018;Zurich;13,41;9,78;17,04;0,01;4,37;87,98
07/10/2018;Zurich;15,38;11,41;19,36;0,0;5,09;76,81
06/10/2018;Zurich;15,09;10,62;19,56;0,0;4,94;72,72
05/10/2018;Zurich;13,83;7,7;19,95;0,0;3,19;75,92
04/10/2018;Zurich;12,04;7,39;16,66;0,0;6,24;81,75
03/10/2018;Zurich;11,14;7,96;14,32;0,0;4,63;79,74
02/10/2018;Zurich;7,38;3,91;10,8;0,17;6,26;74,68
